id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3v3gyQkwRQGwDUZ7V2q2lF,WHAT A DAY,"Tyler, The Creator",62,2023-03-31,0.484,0.828,10,-6.29,0,0.529,0.0,0.163,0.769,88.939,216884,4
6S4WM9LW6oGkAtBFePffh2,STUNTMAN (feat. Vince Staples),"Tyler, The Creator, Vince Staples",58,2023-03-31,0.731,0.663,1,-7.758,1,0.0568,0.0,0.781,0.43,95.972,199742,4
02nhDSWvcXYALyVkth2oXd,Who He Iz,"KAYTRAMINÉ, Aminé, KAYTRANADA",52,2023-05-19,0.737,0.618,2,-3.557,1,0.0302,8.16e-05,0.897,0.353,106.153,181000,4
2sUImfbz5cpAW50SiQla4h,4EVA,"KAYTRAMINÉ, Aminé, KAYTRANADA, Pharrell Williams",62,2023-05-19,0.83,0.695,6,-9.445,0,0.0248,0.0755,0.0573,0.536,112.046,190373,4
0Z4oNNgJKK9VcuSw1L5Cb4,letstalkaboutit,"KAYTRAMINÉ, Aminé, KAYTRANADA, Freddie Gibbs",58,2023-05-19,0.767,0.78,8,-4.768,1,0.0866,0.0,0.125,0.555,112.08,166994,4
4KZytfFyq6cFObYt40KQmj,Westside,"KAYTRAMINÉ, Aminé, KAYTRANADA",49,2023-05-19,0.808,0.518,6,-4.49,0,0.35,5.28e-06,0.162,0.931,120.362,144000,4
6tEpOijHrGLidCtHeoMhlC,Master P,"KAYTRAMINÉ, Aminé, KAYTRANADA, Big Sean",47,2023-05-19,0.799,0.752,8,-4.886,1,0.267,1.28e-05,0.262,0.557,119.99,212000,4
4yhDEazA79jDuJkRp1oVlS,STFU3,"KAYTRAMINÉ, Aminé, KAYTRANADA",42,2023-05-19,0.742,0.736,1,-4.692,0,0.111,0.0,0.272,0.554,92.964,140841,4
6y5UMIVVJDsULZwfZ0bNRX,Sossaup,"KAYTRAMINÉ, Aminé, KAYTRANADA, Amaarae",63,2023-05-19,0.829,0.827,1,-4.472,0,0.24,0.172,0.101,0.283,105.019,156000,4
2eruQnjO91iZFeneO7gh1y,UGH UGH,"KAYTRAMINÉ, Aminé, KAYTRANADA",44,2023-05-19,0.427,0.724,6,-6.199,0,0.0179,0.0,0.165,0.494,78.004,250072,4
4jbNm7D0YvHMS1MZ6hJaOf,EYE,"KAYTRAMINÉ, Aminé, KAYTRANADA, Snoop Dogg",47,2023-05-19,0.524,0.819,9,-3.914,0,0.0877,0.0,0.252,0.576,106.875,160000,4
4FyH1gsB85ivmvFtkvxgir,K&A,"KAYTRAMINÉ, Aminé, KAYTRANADA",44,2023-05-19,0.491,0.751,1,-4.471,1,0.109,0.0,0.162,0.737,148.866,304000,4
0gWrMbx6pbdH3n3nsLjE55,Mourning,Post Malone,69,2023-05-19,0.598,0.655,9,-4.568,1,0.0849,0.0,0.284,0.242,74.013,147819,4
6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,Lana Del Rey,86,2023-05-19,0.485,0.348,6,-11.576,0,0.678,0.167,0.118,0.145,99.898,209156,4
2f5WkystuejnBzgV18GTGa,Say Yes To Heaven - Sped Up,Lana Del Rey,64,2023-05-19,0.51,0.451,10,-9.997,0,0.835,0.0242,0.117,0.184,133.897,156116,4
5ZAGegSjPp0usGaHQQ2NFl,Movie Finale,Madlib,43,2007-08-24,0.639,0.407,6,-12.422,0,0.000159,0.776,0.321,0.631,92.772,104080,4
3gRlmtdCyNoKiyozn2pqc9,Mathematics,Mos Def,60,1999-10-12,0.753,0.749,1,-6.132,0,0.0285,0.0,0.0845,0.832,93.79,246440,4
322YWBUqUh1hPRhy47LBWa,Auditorium,American Princes,24,2008-04-15,0.606,0.895,4,-6.282,1,3.93e-05,0.103,0.111,0.838,128.98,233640,4
0IVAlb0cFCH1cQ974iR1TU,Ms. Fat Booty,Mos Def,69,1999-10-12,0.782,0.589,1,-4.827,1,0.148,0.0,0.164,0.869,90.438,223547,4
5BAwVGuohBVscZWyoLCkkG,Travellin' Man (Remastered),"dj honda, Mos Def",51,2009-06-22,0.651,0.836,10,-6.291,0,0.0181,0.000238,0.172,0.796,91.079,318573,4
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,88,2017-06-09,0.369,0.468,5,-9.013,1,0.0205,0.566,0.109,0.18,94.434,290617,4
6l8mgVN9Xf1hiDIFGA6CTE,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",68,2023-05-19,0.784,0.7,1,-5.289,1,0.0112,1.76e-05,0.163,0.204,126.015,260962,4
52bY9rJSamHZdgvfzTXA72,Murmuration Of Warm Dappled Light On Her Back After Swimming,"Andy Bell, Masal",6,2023-05-19,0.202,0.437,0,-13.305,1,0.771,0.909,0.111,0.159,142.756,897493,4
6wWaVoUOzLQJHd3bWAUpdZ,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby, Gunna, Drake",71,2018-10-05,0.753,0.686,1,-5.414,0,0.0677,0.0,0.193,0.886,132.055,194732,4
2ygHwkk6BE4o1YKF2jhrFX,Hua Hain Aaj Pehli Baar,"Amaal Mallik, Armaan Malik, Palak Muchhal",64,2016-01-04,0.495,0.729,6,-6.453,0,0.6,4.13e-05,0.0993,0.683,155.892,309273,4
3ip5KusuWWcv2w7KvbXZxX,doors,"Raaginder, Surtaal Singh",23,2017-12-28,0.491,0.53,11,-9.493,0,0.286,0.000132,0.154,0.213,119.224,183687,4
14eotumM24MhIgzidgN3Jx,Khaabon Ke Parinday,"Alyssa Mendonsa, Mohit Chauhan",60,2011-06-06,0.517,0.565,9,-10.184,1,0.721,0.00689,0.0997,0.69,169.952,251704,4
6CzMKOYzhBXzZszsy4yFIG,Feels,"AP Dhillon, Gurinder Gill, Gminxr",55,2020-02-14,0.71,0.698,7,-6.489,0,0.108,0.0,0.098,0.0823,91.976,151304,4
0iXLwnLmLwn9y54JtBTNxY,Main Agar Kahoon,"Sonu Nigam, Shreya Ghoshal",66,2007-09-18,0.533,0.436,5,-7.521,0,0.234,3.17e-06,0.46,0.371,146.868,308158,3
59JemC1a4KDC1WxNAt7Zpt,Tujhe Dekha To,"Lata Mangeshkar, Kumar Sanu",48,2013-11-01,0.512,0.479,4,-10.765,0,0.765,1.79e-05,0.0648,0.856,97.205,303960,4
2UXqAinFTSFA3Y0nlWPHQn,Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",48,2013-11-01,0.569,0.827,2,-7.586,0,0.777,2.8e-06,0.37,0.882,98.4,286695,4
7jV2zwwRKvHoLA8WFr3SCN,Ho Gaya Hai Tujhko To Pyar Sajna,"Lata Mangeshkar, Udit Narayan",50,2013-11-01,0.489,0.575,7,-11.64,0,0.533,7.64e-06,0.238,0.579,100.212,349827,4
3VJbSROdwncBgQLQwYApi8,Hum Jab Simat Ke Aapki Bahon Men,"Asha Bhosle, Mahendra Kapoor",22,1965-12-31,0.457,0.252,9,-11.058,1,0.988,0.231,0.114,0.511,108.79,327744,4
6sf5wubXcdYPQSvp2NmAjw,Maine Ek Khwab Sa Dekha,"Asha Bhosle, Mahendra Kapoor",14,1965-12-31,0.451,0.103,3,-14.311,1,0.969,0.0222,0.123,0.261,78.478,330319,4
4U2ZmIuoghAhoxwKwAw28M,Chehre Pe Khushi Chha Jati Hai,Asha Bhosle,14,1965-12-31,0.556,0.396,1,-8.733,1,0.994,0.301,0.105,0.744,102.498,267446,4
3aQX1tNZqqQj6xvIV611UP,Ae Mere Zohra Jabeen,Manna Dey,39,1965-12-31,0.441,0.463,6,-11.476,0,0.984,0.14,0.0993,0.515,79.579,235333,3
4jQrkrVtYHhCEa6GrSLQMq,Kaun Aaya Ki Nigahon Mein,Asha Bhosle,18,1965-12-31,0.478,0.474,8,-7.449,1,0.986,0.016,0.228,0.703,138.362,264802,3
7fqYtGcMK6YaFSxvJhwvx8,Din Hai Bahar Ke,"Asha Bhosle, Mahendra Kapoor",19,1965-12-31,0.561,0.459,7,-10.689,1,0.981,0.0202,0.0959,0.851,93.61,290377,4
6FQSbXPFzdiqgJZU75Hesq,Aage Bhi Jane Na Tu,Asha Bhosle,26,1965-12-31,0.506,0.276,3,-6.934,1,0.98,0.00418,0.0807,0.539,76.136,445028,4
761pEgbZdIHrY2ugDAvESu,Waqt Se Din Aur Raat,Mohammed Rafi,13,1965-12-31,0.537,0.26,9,-10.011,0,0.917,0.0,0.124,0.238,107.582,252627,4
60ON92YSFjEzHljyWsnVHy,Dilwale Dulhania Le Jayenge Theme - Instrumental,Jatin-Lalit,9,2013-11-01,0.436,0.961,11,-7.681,1,0.0553,0.0921,0.353,0.974,101.821,26912,4
6f3C6rJo7zvmfr1h5SRvxg,Ladki Badi Anjani Hai,"Kumar Sanu, Alka Yagnik",62,1998-08-13,0.637,0.774,7,-9.327,1,0.522,0.0001,0.0901,0.731,121.108,381707,4
619BqiArColRhmckgCGoG3,Ruk Ja O Dil Deewane,Udit Narayan,46,2013-11-01,0.623,0.749,11,-10.703,0,0.694,0.000573,0.116,0.903,106.205,312333,4
5wyzawAfi1y7Zgsx3jr7MD,Mere Khwabon Mein,Lata Mangeshkar,41,2013-11-01,0.621,0.512,7,-11.074,0,0.633,0.0,0.0803,0.925,114.803,256440,4
4AfLtSXcvG8AkfQjDR0gJ1,Zara Sa Jhoom Loon Main,"Asha Bhosle, Abhijeet",48,2013-11-01,0.606,0.553,0,-12.537,0,0.682,6.93e-05,0.191,0.868,130.657,353693,4
4O92VRNJD4NG0OpSBZnoUr,Ghar Aaja Pardesi,"Pamela Chopra, Manpreet Kaur",32,2013-11-01,0.547,0.56,5,-10.504,0,0.848,8.21e-06,0.07,0.5,92.307,451840,4
0h1ednFFd4xK5SCO8mXNOe,Tryna Be,Giveon,60,2022-06-24,0.637,0.242,1,-12.556,0,0.524,0.0,0.204,0.281,131.993,170653,3
2D5syPC60v8voqHqo9kUtn,Get To You,Giveon,54,2022-06-24,0.356,0.44,8,-10.895,0,0.554,3.52e-06,0.551,0.125,95.547,205772,4
7r1MqPAD09w24mCUUbxiCI,Make You Mine,Giveon,64,2022-06-24,0.551,0.37,5,-10.194,0,0.87,0.0,0.122,0.241,137.265,200192,4
6qBFSepqLCuh5tehehc1bd,Like I Want You,Giveon,75,2020-03-27,0.678,0.355,10,-7.757,0,0.759,7.06e-05,0.114,0.438,119.772,260776,3
0ECWkqtSIryUYVjyJMr0yA,Vanish,Giveon,58,2020-03-27,0.541,0.216,10,-11.292,0,0.301,0.0325,0.726,0.346,128.609,209406,3
3LBM25IgxI9y549SiYxtSi,Stuck On You,Giveon,70,2021-03-12,0.599,0.463,7,-7.449,1,0.162,6.64e-05,0.141,0.141,158.053,205205,3
2Hd7uGbl8PX0IxyX59VFOg,The Beach,Giveon,66,2020-03-27,0.649,0.509,3,-9.502,0,0.181,0.000655,0.932,0.223,99.813,205663,4
0RJD0uJykyJH6vFzz6ufaE,Last Time (feat. Snoh Aalegra),"Giveon, Snoh Aalegra",59,2021-03-12,0.634,0.424,1,-8.609,0,0.344,1.11e-05,0.442,0.376,81.449,193761,3
5JycxhApZmzbA4xSwvqh6k,All To Me,Giveon,70,2021-03-12,0.523,0.543,5,-8.39,0,0.65,0.0,0.257,0.318,116.161,127807,3
51Ful1v7b81FchIFFTAQ05,World We Created,Giveon,58,2020-03-27,0.589,0.507,0,-7.085,1,0.271,0.0,0.335,0.33,144.137,193467,4
6qvtoU0gbkaOcTx6mnVDgV,Still Your Best,Giveon,67,2021-03-12,0.535,0.406,3,-7.681,0,0.481,0.0,0.144,0.217,113.467,177446,4
4cRBqWBjuccCowYVHFlXK6,Redemption,Drake,66,2016-05-06,0.694,0.314,0,-7.82,1,0.611,2.07e-06,0.117,0.341,119.905,333947,4
3mHO1J6kfiArjBo1zhLFGP,Coming Down,The Weeknd,75,2011-03-21,0.694,0.649,2,-5.262,0,0.303,2.41e-05,0.206,0.344,120.973,295435,4
6tjsbysvZh8Pq8DZA5ldrn,The Knowing,The Weeknd,56,2011-03-21,0.454,0.668,6,-5.821,0,0.205,0.000841,0.0938,0.168,85.994,342829,4
3dQEShIMs5TW8H3eUh11r7,Twenty Eight,The Weeknd,58,2012-11-13,0.636,0.64,3,-7.171,0,0.566,0.000207,0.108,0.247,129.966,258294,4
2dSKFFNoNXKo3hPnlwUdPe,They Don't Love It,Jack Harlow,67,2023-04-28,0.536,0.814,1,-5.407,1,0.0388,0.0,0.142,0.851,96.7,113292,4
1C5e7ZRscn79tjMEc3swc7,Kangna,"Dr Zeus, Master Rakesh, Shortie, Deepti",59,2003-01-01,0.756,0.858,1,-4.05,0,0.035,0.000254,0.061,0.764,101.984,210680,4
3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,Jack Harlow,73,2020-12-11,0.792,0.793,5,-6.185,0,0.0872,0.0,0.22,0.775,123.031,156578,4
1Oyfarj5ipZwEup8DUM7hA,Aaj Sajeya,Goldie Sohel,53,2021-03-30,0.641,0.57,7,-10.111,1,0.883,0.00177,0.161,0.569,79.931,229180,4
5XD2tP1DRH2NJgp45HiEQA,Bol Do Na Zara,Armaan Malik,64,2017-07-20,0.545,0.472,11,-8.259,0,0.294,0.0,0.0871,0.195,129.988,292827,3
5G7pZ8G8NFvS1MQ9H4L7dC,Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",73,2018-09-14,0.51,0.502,7,-7.016,0,0.71,0.0,0.0708,0.321,133.885,247286,4
2Gt7Ygw6Kpn8Nfdvj280dn,not cute (Kelland Remix),"Ella Rosa, Kelland",38,2023-05-05,0.877,0.574,3,-7.377,0,0.101,0.0335,0.107,0.499,124.999,139200,4
7sdMwsicqJun5bGtr7owEb,"wait, dance (Puff Scarborough Remix)",Ella Rosa,3,2023-05-05,0.764,0.429,2,-9.671,0,0.109,0.719,0.109,0.3,98.603,216163,4
73PdruuBTuutIFrvHcAM9N,ur face (Indigo Eyes Remix),"Ella Rosa, Indigo Eyes",34,2023-05-05,0.779,0.6,2,-13.797,0,0.104,0.00115,0.481,0.376,137.943,149565,4
